author_id,author_name,coauthor_id,coauthor_name,value,is_vinci
321,Tianjian Chen,442,Cristina M Caperchione,1,True
321,Tianjian Chen,443,Richard R Rosenkranz,1,True
321,Tianjian Chen,444,Anetta Van Itallie,1,True
321,Tianjian Chen,445,W Kerry Mummery,1,True
315,Wenqian Ji,88,Hanbyul Yeon,1,True
315,Wenqian Ji,91,Yun Jang,1,True
316,Yan Tang,88,Hanbyul Yeon,1,True
316,Yan Tang,91,Yun Jang,1,True
317,Pengju Ma,88,Hanbyul Yeon,1,True
317,Pengju Ma,91,Yun Jang,1,True
318,Shijie Tang,88,Hanbyul Yeon,1,True
318,Shijie Tang,91,Yun Jang,1,True
319,Zhipeng Fang,88,Hanbyul Yeon,1,True
319,Zhipeng Fang,91,Yun Jang,1,True
320,Xuan Li,88,Hanbyul Yeon,1,True
320,Xuan Li,91,Yun Jang,1,True
321,Tianjian Chen,88,Hanbyul Yeon,1,True
321,Tianjian Chen,91,Yun Jang,1,True
315,Wenqian Ji,633,Liang Gou,1,True
315,Wenqian Ji,634,Fang You,1,True
315,Wenqian Ji,635,Jun Guo,1,True
315,Wenqian Ji,636,Luqi Wu,1,True
315,Wenqian Ji,615,Xiaolong(Luke) Zhang,1,True
316,Yan Tang,633,Liang Gou,1,True
316,Yan Tang,634,Fang You,1,True
316,Yan Tang,635,Jun Guo,1,True
316,Yan Tang,636,Luqi Wu,1,True
316,Yan Tang,615,Xiaolong(Luke) Zhang,1,True
317,Pengju Ma,633,Liang Gou,1,True
317,Pengju Ma,634,Fang You,1,True
317,Pengju Ma,635,Jun Guo,1,True
317,Pengju Ma,636,Luqi Wu,1,True
317,Pengju Ma,615,Xiaolong(Luke) Zhang,1,True
318,Shijie Tang,633,Liang Gou,1,True
318,Shijie Tang,634,Fang You,1,True
318,Shijie Tang,635,Jun Guo,1,True
318,Shijie Tang,636,Luqi Wu,1,True
318,Shijie Tang,615,Xiaolong(Luke) Zhang,1,True
319,Zhipeng Fang,633,Liang Gou,1,True
319,Zhipeng Fang,634,Fang You,1,True
319,Zhipeng Fang,635,Jun Guo,1,True
319,Zhipeng Fang,636,Luqi Wu,1,True
319,Zhipeng Fang,615,Xiaolong(Luke) Zhang,1,True
320,Xuan Li,633,Liang Gou,1,True
320,Xuan Li,634,Fang You,1,True
320,Xuan Li,635,Jun Guo,1,True
320,Xuan Li,636,Luqi Wu,1,True
320,Xuan Li,615,Xiaolong(Luke) Zhang,1,True
321,Tianjian Chen,633,Liang Gou,1,True
321,Tianjian Chen,634,Fang You,1,True
321,Tianjian Chen,635,Jun Guo,1,True
321,Tianjian Chen,636,Luqi Wu,1,True
321,Tianjian Chen,615,Xiaolong(Luke) Zhang,1,True
23,Michael Burch,4,Daniel Weiskopf,1,True
359,Tingyu Chen,429,Kaimin Chen,1,True
359,Tingyu Chen,360,Sai Keung Wong,1,True
360,Sai Keung Wong,429,Kaimin Chen,1,True
373,Eriko Koike,608,Yuri Saito,1,True
373,Eriko Koike,6,Takayuki Itoh,1,True
6,Takayuki Itoh,608,Yuri Saito,1,True
561,Xiaoting Bi,472,Zhifang Jiang,1,True
561,Xiaoting Bi,562,Shenghui Cheng,1,True
561,Xiaoting Bi,573,Ruobo Xin,1,True
561,Xiaoting Bi,560,Xiangxu Meng,1,True
472,Zhifang Jiang,562,Shenghui Cheng,1,True
472,Zhifang Jiang,573,Ruobo Xin,1,True
472,Zhifang Jiang,560,Xiangxu Meng,1,True
562,Shenghui Cheng,472,Zhifang Jiang,1,True
562,Shenghui Cheng,573,Ruobo Xin,1,True
562,Shenghui Cheng,560,Xiangxu Meng,1,True
560,Xiangxu Meng,472,Zhifang Jiang,1,True
560,Xiangxu Meng,562,Shenghui Cheng,1,True
560,Xiangxu Meng,573,Ruobo Xin,1,True
633,Liang Gou,662,Shaoke Zhang,1,True
633,Liang Gou,663,Jing Wang,1,True
633,Liang Gou,615,Xiaolong(Luke) Zhang,1,True
634,Fang You,633,Liang Gou,1,True
634,Fang You,662,Shaoke Zhang,1,True
634,Fang You,663,Jing Wang,1,True
634,Fang You,615,Xiaolong(Luke) Zhang,1,True
635,Jun Guo,633,Liang Gou,1,True
635,Jun Guo,662,Shaoke Zhang,1,True
635,Jun Guo,663,Jing Wang,1,True
635,Jun Guo,615,Xiaolong(Luke) Zhang,1,True
636,Luqi Wu,633,Liang Gou,1,True
636,Luqi Wu,662,Shaoke Zhang,1,True
636,Luqi Wu,663,Jing Wang,1,True
636,Luqi Wu,615,Xiaolong(Luke) Zhang,1,True
615,Xiaolong(Luke) Zhang,633,Liang Gou,1,True
615,Xiaolong(Luke) Zhang,662,Shaoke Zhang,1,True
615,Xiaolong(Luke) Zhang,663,Jing Wang,1,True
637,SuTe Lei,109,K. Zhang,1,True
109,K. Zhang,637,SuTe Lei,1,True
