name,url,institutions,countries,country
Ayush Kumar,https://dl.acm.org/profile/99659275978,"['Harvard Medical School', 'Stony Brook University']","['United States', 'United States']",United States
Bharat Goel,https://dl.acm.org/profile/99659034607,['Stony Brook University'],['United States'],United States
Keshav Rajupet Premkumar,https://dl.acm.org/profile/99659915763,['Stony Brook University'],['United States'],United States
Michael Burch,https://dl.acm.org/profile/81331488994,"['University of Applied Sciences Western Switzerland', 'Eindhoven University of Technology']","['Switzerland', 'Netherlands']",Switzerland
Klaus D Mueller,https://dl.acm.org/profile/81452605314,"['Stony Brook University', 'IEEE', 'The Ohio State University']","['United States', 'United States', 'United States']",United States
Lauren Edlin,https://dl.acm.org/profile/99659915568,['Queen Mary University of London'],['U.K.'],U.K.
Joshua D Reiss,https://dl.acm.org/profile/81320493799,"['Queen Mary University of London', 'University of London']","['U.K.', 'U.K.']",U.K.
Cameron Edmond,https://dl.acm.org/profile/99659658214,['UNSW Sydney'],['Australia'],Australia
Robert Lawther,https://dl.acm.org/profile/99658723776,['UNSW Sydney'],['Australia'],Australia
Maxime Cordeil,https://dl.acm.org/profile/81488668405,"['Monash University', 'The University of Queensland', 'Federal University of Toulouse Midi-Pyrénées']","['Australia', 'Australia', 'France']",Australia
Tomasz P Bednarz,https://dl.acm.org/profile/81464670479,"['Epicentre', 'UNSW Sydney', 'CSIRO Data61', 'ARC Centre of Excellence for Mathematical & Statistical Frontiers']","['France', 'Australia', 'Australia', 'Australia']",France
Miguel Alfonso Feijóo-García,https://dl.acm.org/profile/99659914931,['Universidad El Bosque'],['Colombia'],Colombia
José Tiberio Hernández-Peñalosa,https://dl.acm.org/profile/99659915656,"['University of the Andes, Colombia']",['Colombia'],Colombia
Christina Stoiber,https://dl.acm.org/profile/99659473900,['St. Polten University of Applied Sciences'],['Austria'],Austria
Conny Walchshofer,https://dl.acm.org/profile/99659914993,['Johannes Kepler University Linz'],['Austria'],Austria
Florian Grassinger,https://dl.acm.org/profile/99659915944,['St. Polten University of Applied Sciences'],['Austria'],Austria
Holger Stitz,https://dl.acm.org/profile/87258908057,"['Johannes Kepler University Linz', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media']","['Austria', 'Austria']",Austria
Marc Streit,https://dl.acm.org/profile/81375612900,"['Johannes Kepler University Linz', 'Harvard Medical School', 'Graz University of Technology']","['Austria', 'United States', 'Austria']",Austria
Wolfgang Aigner,https://dl.acm.org/profile/81503660777,"['St. Polten University of Applied Sciences', 'Vienna University of Technology']","['Austria', 'Austria']",Austria
Akshay Murari,https://dl.acm.org/profile/99659916186,['The University of North Carolina at Charlotte'],['United States'],United States
Elias Mahfoud,https://dl.acm.org/profile/99659090947,['The University of North Carolina at Charlotte'],['United States'],United States
Weichao Wang,https://dl.acm.org/profile/81467643151,['The University of North Carolina at Charlotte'],['United States'],United States
Aidong Lu,https://dl.acm.org/profile/81100052641,"['The University of North Carolina at Charlotte', 'The University of North Carolina System', 'Purdue University', 'IEEE']","['United States', 'United States', 'United States', 'United States']",United States
Hinako Sassa,https://dl.acm.org/profile/99659915448,['Ochanomizu University'],['Japan'],Japan
Mitsuo Yoshida,https://dl.acm.org/profile/99658718448,['Toyohashi University of Technology'],['Japan'],Japan
Oliver Moseler,https://dl.acm.org/profile/99659915576,['University of Trier'],['Germany'],Germany
Lucas Kreber,https://dl.acm.org/profile/99659915201,['University of Trier'],['Germany'],Germany
Stephan Diehl,https://dl.acm.org/profile/81100020010,"['University of Trier', 'Catholic University in Eichstätt', 'Saarland University']","['Germany', 'Germany', 'Germany']",Germany
Chen He,https://dl.acm.org/profile/99659914928,['University of Helsinki'],['Finland'],Finland
