author_id,author_name,coauthor_id,coauthor_name,self_citation,paper_doi,paper_title,parent_doi,parent_title
239,Dominique Tranquille,250,Andrew Blake,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
239,Dominique Tranquille,240,Gem Stapleton,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
239,Dominique Tranquille,242,Peter J Rodgers,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
239,Dominique Tranquille,463,John Howse,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
240,Gem Stapleton,250,Andrew Blake,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
240,Gem Stapleton,240,Gem Stapleton,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
240,Gem Stapleton,242,Peter J Rodgers,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
240,Gem Stapleton,463,John Howse,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
241,Jim Burton,250,Andrew Blake,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
241,Jim Burton,240,Gem Stapleton,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
241,Jim Burton,242,Peter J Rodgers,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
241,Jim Burton,463,John Howse,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
242,Peter J Rodgers,250,Andrew Blake,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
242,Peter J Rodgers,240,Gem Stapleton,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
242,Peter J Rodgers,242,Peter J Rodgers,True,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
