name,url,institutions,countries,country,region
John C. Grundy,https://dl.acm.org/profile/81100261843,"['Monash University', 'Deakin University', 'Swinburne University of Technology', 'The University of Auckland']","['Australia', 'Australia', 'Australia', 'New Zealand']",Australia,Oceania
Yaru Du,https://dl.acm.org/profile/99659289556,,,,
Liang Zhou,https://dl.acm.org/profile/99659493271,"['The University of Utah', 'University of Stuttgart']","['United States', 'Germany']",United States,North America
Hansjörg Schmauder,https://dl.acm.org/profile/81490688158,['University of Stuttgart'],['Germany'],Germany,Europe
Xiaoyu Wang,https://dl.acm.org/profile/99659256604,['The University of Texas at Dallas'],['United States'],United States,North America
Yufeng Liu,https://dl.acm.org/profile/99659194249,['Hohai University'],['China'],China,Asia
Jie Li,https://dl.acm.org/profile/99658620368,"['Tianjin University', 'Nanjing University']","['China', 'China']",China,Asia
K. Zhang,https://dl.acm.org/profile/81350576955,"['The University of Texas at Dallas', 'Tianjin University', 'IEEE']","['United States', 'China', 'United States']",United States,North America
Daniil Rodin,https://dl.acm.org/profile/99659291201,['Technion - Israel Institute of Technology'],['Israel'],Israel,Asia
Gershon Elber,https://dl.acm.org/profile/81100400502,"['Technion - Israel Institute of Technology', 'IEEE', 'The University of Utah']","['Israel', 'United States', 'United States']",Israel,Asia
Mehmood Ghaffar,https://dl.acm.org/profile/99659292007,['Bielefeld University'],['Germany'],Germany,Europe
Niklas Biere,https://dl.acm.org/profile/99659292087,['Bielefeld University'],['Germany'],Germany,Europe
Daniel Jäger,https://dl.acm.org/profile/99659290368,['Bielefeld University'],['Germany'],Germany,Europe
Karsten Klein,https://dl.acm.org/profile/81100141840,"['Monash University', 'University of Konstanz', 'The University of Sydney', 'Technical University Dortmund']","['Australia', 'Germany', 'Australia', 'Germany']",Australia,Oceania
Falk Schreiber,https://dl.acm.org/profile/81100087062,"['University of Konstanz', 'Monash University', 'Martin Luther University of Halle-Wittenberg']","['Germany', 'Australia', 'Germany']",Germany,Europe
Olaf Kruse,https://dl.acm.org/profile/99659291490,['Bielefeld University'],['Germany'],Germany,Europe
Björn Sommer,https://dl.acm.org/profile/99658771476,"['Royal College of Art', 'University of Konstanz', 'Monash University', 'Bielefeld University']","['United Kingdom', 'Germany', 'Australia', 'Germany']",United Kingdom,Europe
Luca Marzialetti,https://dl.acm.org/profile/99659289305,['Roma Tre University'],['Italy'],Italy,Europe
Massimo Candela,https://dl.acm.org/profile/99659290958,['University of Pisa'],['Italy'],Italy,Europe
Giuseppe Di Battista,https://dl.acm.org/profile/81100464555,"['Roma Tre University', 'Basilicata University Potenza', 'Sapienza University of Rome']","['Italy', 'Italy', 'Italy']",Italy,Europe
Gerald Baulig,https://dl.acm.org/profile/99659291294,,,,
Tobias Boley,https://dl.acm.org/profile/99659292088,,,,
Arjana Mehmeti,https://dl.acm.org/profile/99659290889,,,,
Dina Kurbanismailova,https://dl.acm.org/profile/99659291964,,,,
Marc Roswag,https://dl.acm.org/profile/99659291329,,,,
Oliver Streicher,https://dl.acm.org/profile/99659292148,,,,
Steffen Wittig,https://dl.acm.org/profile/99659289339,,,,
Nico Reski,https://dl.acm.org/profile/99658638708,"['Linnaeus University, Växjö']",['Sweden'],Sweden,Europe
Aris Alissandrakis,https://dl.acm.org/profile/81310502395,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Hertfordshire']","['Sweden', 'Sweden', 'United Kingdom']",Sweden,Europe
Kostiantyn Kucher,https://dl.acm.org/profile/81486656627,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden,Europe
Rafael Messias Martins,https://dl.acm.org/profile/99659192192,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden,Europe
Andreas Kerren,https://dl.acm.org/profile/81100367883,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar', 'University of Kaiserslautern', 'Vienna University of Technology']","['Sweden', 'Sweden', 'Germany', 'Austria']",Sweden,Europe
Maria Skeppstedt,https://dl.acm.org/profile/81470654834,"['University of Potsdam', 'Stockholm University']","['Germany', 'Sweden']",Germany,Europe
Alisa Lincke,https://dl.acm.org/profile/99659291514,"['Linnaeus University, Växjö']",['Sweden'],Sweden,Europe
Jenny Lundberg,https://dl.acm.org/profile/81100336369,['Blekinge Institute of Technology'],['Sweden'],Sweden,Europe
Maria Thunander,https://dl.acm.org/profile/99659289733,['Lund University'],['Sweden'],Sweden,Europe
Marcelo Milrad,https://dl.acm.org/profile/81100334854,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden,Europe
Jonas Lundberg,https://dl.acm.org/profile/81339515283,"['Linköping University', 'Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden', 'Sweden']",Sweden,Europe
Daniel Toll,https://dl.acm.org/profile/81501663475,"['Linnaeus University, Kalmar']",['Sweden'],Sweden,Europe
Anna Wingkvist,https://dl.acm.org/profile/81442618410,"['Linnaeus University, Växjö', 'Linnaeus University, Kalmar']","['Sweden', 'Sweden']",Sweden,Europe
Tomohiro Kawanabe,https://dl.acm.org/profile/99659292129,['Riken'],['Japan'],Japan,Asia
Jorji Nonaka,https://dl.acm.org/profile/81100125090,"['Riken', 'Kyoto University']","['Japan', 'Japan']",Japan,Asia
Kenji Ono,https://dl.acm.org/profile/81100261727,"['Kyushu University', 'Riken', 'Toshiba Corporation']","['Japan', 'Japan', 'Japan']",Japan,Asia
Tu Xing,https://dl.acm.org/profile/99659291920,['Shenzhen University'],['China'],China,Asia
Anna Sara Fagerholm,https://dl.acm.org/profile/99659290153,['Mid Sweden University'],['Sweden'],Sweden,Europe
Mattias Andersson,https://dl.acm.org/profile/81496672621,['Mid Sweden University'],['Sweden'],Sweden,Europe
Björn Zimmer,https://dl.acm.org/profile/81482662429,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Linnaeus University, Växjö', 'Hannover University of Applied Sciences']","['Austria', 'Sweden', 'Germany']",Austria,Europe
Jan Zenisek,https://dl.acm.org/profile/99659185142,"['University of Applied Sciences Upper Austria, Wels', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'University of Applied Sciences Upper Austria, School of Management']","['Austria', 'Austria', 'Austria']",Austria,Europe
Hans-Christian Jetter,https://dl.acm.org/profile/81361609796,['University of Lübeck'],['Germany'],Germany,Europe
Hyunwoo Han,https://dl.acm.org/profile/99658768907,['Ajou University'],['South Korea'],South Korea,Asia
Taerin Yoon,https://dl.acm.org/profile/99659290729,['Ajou University'],['South Korea'],South Korea,Asia
Hyeonsik Gong,https://dl.acm.org/profile/99659288906,['Ajou University'],['South Korea'],South Korea,Asia
Kyungwon Lee,https://dl.acm.org/profile/81458652821,['Ajou University'],['South Korea'],South Korea,Asia
Zana Vosough,https://dl.acm.org/profile/99659194221,"['SAP AG', 'Technische Universität Dresden']","['Germany', 'Germany']",Germany,Europe
Dietrich Kammer,https://dl.acm.org/profile/81479656070,"['Dresden University of Applied Sciences', 'Technische Universität Dresden']","['Germany', 'Germany']",Germany,Europe
Mandy Keck,https://dl.acm.org/profile/81479645196,"['University of Applied Sciences Upper Austria, School of Informatics, Communications and Media', 'Technische Universität Dresden']","['Austria', 'Germany']",Austria,Europe
Rainer Groh,https://dl.acm.org/profile/81372593345,['Technische Universität Dresden'],['Germany'],Germany,Europe
Fangfang Zhou,https://dl.acm.org/profile/81549260756,['Central South University'],['China'],China,Asia
Minghui Chen,https://dl.acm.org/profile/99659194235,['Central South University'],['China'],China,Asia
Zeyu Wang,https://dl.acm.org/profile/99659194186,['Central South University'],['China'],China,Asia
Feng Luo,https://dl.acm.org/profile/99659194127,['Central South University'],['China'],China,Asia
Xiaobo Luo,https://dl.acm.org/profile/99659194176,['Central South University'],['China'],China,Asia
Wei Huang,https://dl.acm.org/profile/99659194273,['Central South University'],['China'],China,Asia
Yi Chen,https://dl.acm.org/profile/81490680300,['Beijing Technology and Business University'],['China'],China,Asia
Ying Zhao,https://dl.acm.org/profile/81549278756,['Central South University'],['China'],China,Asia
Yang Zou,https://dl.acm.org/profile/99659194214,['Hohai University'],['China'],China,Asia
Xiaoqin Zeng,https://dl.acm.org/profile/81319505316,"['Hohai University', 'The University of Texas at Dallas', 'Hong Kong Polytechnic University']","['China', 'United States', 'Hong Kong']",China,Asia
Huiyi Liu,https://dl.acm.org/profile/81548020271,['Hohai University'],['China'],China,Asia
