e1,e2,value
Technology National Institute of Technology Karnataka,Technology National Institute of Technology Karnataka,1
Technology National Institute of Technology Karnataka,National Institute of Technology Karnataka,1
National Institute of Technology Karnataka,National Institute of Technology Karnataka,2
tianjin university,university of texas,4
Indian Institute of Technology Guwahati,Indian Institute of Technology Guwahati,1
university of waikato,university of waikato,1
university of brighton,university of brighton,1
university of brighton,university of kent,1
university of tasmania,CSIRO,1
the university of sydney,the university of sydney,3
the university of sydney,CSIRO Computational Informatics,1
kyushu university,kyushu university,2
james cook university,james cook university,2
brigham young university,brigham young university,1
university of tasmania,university of tasmania,1
deakin university,deakin university,1
university of colombo,monash university,3
The 28th Research Institute of China Electronics Technology Group Corporation,The 28th Research Institute of China Electronics Technology Group Corporation,1
queensland university of technology,queensland university of technology,2
university of colombo,monash university malaysia,1
ochanomizu university,Shiseido Research Center,1
Shiseido Research Center,Shiseido Research Center,1
Department of IT,Department of IT,1
university of colombo,university of colombo,1
university of toyama,university of toyama,1
Sejong University,Sejong University,1
university of tsukuba,university of tsukuba,1
university of tsukuba,aichi university of education,1
university of tsukuba,Toba National College of Maritime Technology,1
university of tsukuba,Aichi Institute of Technology,1
aichi university of education,Toba National College of Maritime Technology,1
aichi university of education,Aichi Institute of Technology,1
Toba National College of Maritime Technology,Aichi Institute of Technology,1
Visualisierungsinstitut der Universität Stuttgart,Visualisierungsinstitut der Universität Stuttgart,1
the university of sydney,monash university,1
university of new south wales,St Vincent's Hospital,1
university of new south wales,St Vincent's Private Hospital,1
university of new south wales,university of new south wales,1
St Vincent's Hospital,St Vincent's Hospital,1
St Vincent's Hospital,St Vincent's Private Hospital,1
Universiti Teknologi Malaysia,university of canterbury,1
Universiti Teknologi Malaysia,Universiti Teknologi Malaysia,1
university of rome la sapienza rome,university of rome la sapienza rome,1
TCS Research,TCS Research,1
university of chinese academy of sciences,State Key Laboratory of Computer Science,1
State Key Laboratory of Computer Science,State Key Laboratory of Computer Science,1
nankai university,nankai university,2
nankai university,university of texas,1
VISUS,VISUS,1
gakushuin university,school of commerce senshu university,1
gakushuin university,Gakushuin University,2
school of commerce senshu university,Gakushuin University,1
Gakushuin University,Gakushuin University,2
tokyo metropolitan university,tokyo metropolitan university,1
interdisciplinary graduate school of science and engineering shimane university,interdisciplinary graduate school of science and engineering shimane university,1
university of western sydney,university of western sydney,1
ochanomizu university,the university of sydney,1
ajou university,ajou university,1
tokyo university of science,tokyo university of science,1
tokyo university of science,Centre les Capucins,1
tokyo university of science,Laboratoire Angevin de Recherche en Ingénierie des Systèmes,1
Centre les Capucins,Laboratoire Angevin de Recherche en Ingénierie des Systèmes,1
Centre les Capucins,Centre les Capucins,1
university of electrocommunications,university of electrocommunications,1
chang gung university,chang gung university,1
chang gung university,Chang Gung Memorial Hospital,1
Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,1
National Institute of Informatics,National Institute of Informatics,1
gakushuin university,senshu university,1
senshu university,Gakushuin University,1
university of illinois,oklahoma state university,1
Central South University,Central South University,1
Central South University,Arizona State University,1
VRVis Research Center,university of buenos aires,1
VRVis Research Center,university of maryland,1
