id,name,institutions,url
99659916274,Jan van Dieken,['Hasso Plattner Institute for Digital Engineering gGmbH'],https://dl.acm.org/profile/99659916274
99659275978,Ayush Kumar,"['Harvard Medical School', 'Stony Brook University']",https://dl.acm.org/profile/99659275978
99659034607,Bharat Goel,['Stony Brook University'],https://dl.acm.org/profile/99659034607
99659915763,Keshav Rajupet Premkumar,['Stony Brook University'],https://dl.acm.org/profile/99659915763
81331488994,Michael Burch,"['University of Applied Sciences Western Switzerland', 'Eindhoven University of Technology', '+ 4']",https://dl.acm.org/profile/81331488994
81452605314,Klaus D Mueller,"['Stony Brook University', 'IEEE', 'The Ohio State University']",https://dl.acm.org/profile/81452605314
99659915568,Lauren Edlin,['Queen Mary University of London'],https://dl.acm.org/profile/99659915568
81320493799,Joshua D Reiss,"['Queen Mary University of London', 'University of London']",https://dl.acm.org/profile/81320493799
99659658214,Cameron Edmond,['UNSW Sydney'],https://dl.acm.org/profile/99659658214
99658723776,Robert Lawther,['UNSW Sydney'],https://dl.acm.org/profile/99658723776
81488668405,Maxime Cordeil,"['Monash University', 'The University of Queensland', 'Federal University of Toulouse Midi-Pyrénées', '+ 1']",https://dl.acm.org/profile/81488668405
81464670479,Tomasz P Bednarz,"['Epicentre', 'UNSW Sydney', 'CSIRO Data61', 'ARC Centre of Excellence for Mathematical & Statistical Frontiers', '+ 2']",https://dl.acm.org/profile/81464670479
99659914931,Miguel Alfonso Feijóo-García,['Universidad El Bosque'],https://dl.acm.org/profile/99659914931
99659915656,José Tiberio Hernández-Peñalosa,"['University of the Andes, Colombia']",https://dl.acm.org/profile/99659915656
99659473900,Christina Stoiber,['St. Polten University of Applied Sciences'],https://dl.acm.org/profile/99659473900
99659914993,Conny Walchshofer,['Johannes Kepler University Linz'],https://dl.acm.org/profile/99659914993
99659915944,Florian Grassinger,['St. Polten University of Applied Sciences'],https://dl.acm.org/profile/99659915944
87258908057,Holger Stitz,"['Johannes Kepler University Linz', 'University of Applied Sciences Upper Austria, School of Informatics, Communications and Media']",https://dl.acm.org/profile/87258908057
81375612900,Marc Streit,"['Johannes Kepler University Linz', 'Harvard Medical School', 'Graz University of Technology']",https://dl.acm.org/profile/81375612900
81503660777,Wolfgang Aigner,"['St. Polten University of Applied Sciences', 'Vienna University of Technology']",https://dl.acm.org/profile/81503660777
99659916186,Akshay Murari,['The University of North Carolina at Charlotte'],https://dl.acm.org/profile/99659916186
