name,url,institutions
Mayumi Aoyagi,Mayumi Aoyagi,['Aichi University of Education']
Nobuo Ezaki,Nobuo Ezaki,"['National Institute of Technology, Toba College']"
Shinji Mizuno,Shinji Mizuno,"['Aichi Institute of Technology', 'Toyohashi University of Technology']"
Christoph Müller,Christoph Müller,['University of Stuttgart']
Guido Reina,Guido Reina,['University of Stuttgart']
Thomas Ertl,Thomas Ertl,"['University of Stuttgart', '+ 3']"
Michael Krone,Michael Krone,"['University of Tübingen', 'University of Stuttgart']"
Alexandros Panagiotidis,Alexandros Panagiotidis,['University of Stuttgart']
Tilo Pfannkuch,Tilo Pfannkuch,['University of Stuttgart']
Andrew Kennedy,Andrew Kennedy,['The University of Sydney']
An Nguyen,An Nguyen,['The University of Sydney']
Tingyu Chen,Tingyu Chen,['National Chiao Tung University Taiwan']
Sai Keung Wong,Sai Keung Wong,['National Chiao Tung University Taiwan']
Chica Matsueda,Chica Matsueda,['Ochanomizu University']
John B McGhee,John B McGhee,"['UNSW Sydney', 'University of Dundee']"
Angelica G Thompson-Butel,Angelica G Thompson-Butel,"[""St. Vincent's Hospital Sydney""]"
Steven Faux,Steven Faux,"[""St. Vincent's Hospital Sydney"", 'UNSW Sydney']"
Pascal Bou-Haidar,Pascal Bou-Haidar,"[""St Vincent's Private Hospital""]"
John Bailey,John Bailey,['UNSW Sydney']
Ajune Wanis Ismail,Ajune Wanis Ismail,['Universiti Teknologi Malaysia']
Mark Nathan Billinghurst,Mark Nathan Billinghurst,"['University of South Australia', 'The University of Auckland', 'University of Michigan, Ann Arbor', '+ 7']"
Mohd Shahrizal Bin Sunar,Mohd Shahrizal Bin Sunar,"['Universiti Teknologi Malaysia', 'Sunway University']"
Marco Angelini,Marco Angelini,['Sapienza University of Rome']
Giuseppe Santucci,Giuseppe Santucci,"['Sapienza University of Rome', 'University of Maryland, College Park (UMD)']"
Zhaopeng Meng,Zhaopeng Meng,['Tianjin University']
Eriko Koike,Eriko Koike,['Ochanomizu University']
Aditeya Pandey,Aditeya Pandey,['Tata Consultancy Services India']
Kunal Ranjan,Kunal Ranjan,['Tata Consultancy Services India']
Geetika Sharma,Geetika Sharma,"['Tata Consultancy Services India', 'Indian Institute of Technology Delhi']"
Lipika Dey,Lipika Dey,"['Tata Consultancy Services India', 'Indian Institute of Technology Delhi']"
Yan Huang,Yan Huang,"['Chinese Academy of Sciences', 'Institute of Automation Chinese Academy of Sciences', '+ 1']"
Cui-Xia Ma,Cui-Xia Ma,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']"
Hong'an Wang,Hong'an Wang,"['Institute of Software Chinese Academy of Sciences', 'Alibaba Group Holding Limited', '+ 4']"
Katrin Scharnowski,Katrin Scharnowski,['University of Stuttgart']
Yukari Shirota,Yukari Shirota,"['Gakushuin University', 'Ricoh Co., Ltd.', 'The University of Tokyo']"
Yutaka Takahashi,Yutaka Takahashi,['Senshu University']
Nobuhide Tanaka,Nobuhide Tanaka,['Gakushuin University']
Michiya Morita,Michiya Morita,['Gakushuin University']
Makiko Harada,Makiko Harada,['Tokyo Metropolitan University']
Hidenori Watanave,Hidenori Watanave,"['The University of Tokyo', 'Tokyo Metropolitan University']"
Nozomi Tamaki,Nozomi Tamaki,['Shimane University']
Masahito Hirakawa,Masahito Hirakawa,"['Shimane University', 'Hiroshima University']"
Harrison Cook,Harrison Cook,[]
Antoine Trouvé,Antoine Trouvé,['Kyushu University']
Kazuaki J Murakami,Kazuaki J Murakami,['Kyushu University']
Sayaka Yagi,Sayaka Yagi,['Ochanomizu University']
Masahiro Takatsuka,Masahiro Takatsuka,['The University of Sydney']
Hyoji Ha,Hyoji Ha,['Ajou University']
Sungyun Bae,Sungyun Bae,['Ajou University']
Shinya Tachihara,Shinya Tachihara,['Tokyo University of Science']
Takehiko Yamaguchi,Takehiko Yamaguchi,"['Tokyo University of Science', ""Universite d'Angers"", 'University of Arkansas - Fayetteville']"
Naoki Ishiura,Naoki Ishiura,['Tokyo University of Science']
Mickaël Dinomais,Mickaël Dinomais,"[""Universite d'Angers""]"
Paul Richard,Paul Richard,"[""Universite d'Angers""]"
Sylvie Nguyen,Sylvie Nguyen,[]
Tetsuji Takada,Tetsuji Takada,['The University of Electro-Communications']
Katsuhiro Amako,Katsuhiro Amako,['The University of Electro-Communications']
Jiann Der Lee,Jiann Der Lee,"['Chang Gung University', 'National Taiwan University of Science and Technology']"
Haoche Lee,Haoche Lee,['Chang Gung University']
Chunghung Hsieh,Chunghung Hsieh,['Chang Gung University']
Chiehtsai Wu,Chiehtsai Wu,['Chang Gung Memorial Hospital']
Shintseng Lee,Shintseng Lee,"['Chang Gung Memorial Hospital', 'Chang Gung University']"
Norio Katayama,Norio Katayama,['Research Organization of Information and Systems National Institute of Informatics']
Hiroshi Mo,Hiroshi Mo,['Research Organization of Information and Systems National Institute of Informatics']
Shin'ichi Satoh,Shin'ichi Satoh,"['The University of Tokyo', '+ 5']"
Mengjia Zhang,Mengjia Zhang,['Tianjin University']
Anatoly Yelizarov,Anatoly Yelizarov,['Lomonosov Moscow State University']
Dennis Yu Gamayunov,Dennis Yu Gamayunov,['Lomonosov Moscow State University']
Brady Cannon,Brady Cannon,['Micron Technology Incorporated']
Minoti Hiremath,Minoti Hiremath,['Boise State University']
Cheryl Jorcyk,Cheryl Jorcyk,['Boise State University']
Tze Haw Huang,Tze Haw Huang,['University of Technology Sydney']
Laiping Zhao,Laiping Zhao,"['Tianjin University', 'Kyushu University']"
Gao Yi,Gao Yi,['The University of Tokyo']
Kazuyo Mizuno,Kazuyo Mizuno,['The University of Tokyo']
Hong Zhou,Hong Zhou,"['Shenzhen University', 'Hong Kong University of Science and Technology']"
Panpan Xu,Panpan Xu,"['Bosch Research and Technology Center', 'Hong Kong University of Science and Technology']"
Zhong Ming,Zhong Ming,"['Shenzhen University', 'Henan University']"
Haile Vu,Haile Vu,"['Monash University', 'Swinburne University of Technology']"
Jan Wolter,Jan Wolter,['University of Paderborn']
Uwe Kastens,Uwe Kastens,"['University of Paderborn', 'Karlsruhe Institute of Technology, Campus South']"
Kaimin Chen,Kaimin Chen,['National Chiao Tung University Taiwan']
Loredana Caruccio,Loredana Caruccio,['University of Salerno']
Vincenzo Deufemia,Vincenzo Deufemia,['University of Salerno']
Christopher D'Souza,Christopher D'Souza,"['Australian Catholic University', 'Western Sydney University']"
Athula Ginige,Athula Ginige,"['The University of Sydney', 'Western Sydney University', 'Link Campus University']"
Giuseppe Polese,Giuseppe Polese,"['University of Salerno', 'University of Pittsburgh']"
Andrew S Brunker,Andrew S Brunker,['Western Sydney University']
Anthony J Maeder,Anthony J Maeder,"['Flinders University', 'Western Sydney University', 'CSIRO Ict Centre', 'Queensland University of Technology']"
Rhys Tague,Rhys Tague,['Western Sydney University']
Gregory S Kolt,Gregory S Kolt,['Western Sydney University']
Trevor N Savage,Trevor N Savage,['Western Sydney University']
Corneel Vandelanotte,Corneel Vandelanotte,[]
Mitch J Duncan,Mitch J Duncan,[]
Cristina M Caperchione,Cristina M Caperchione,['The University of British Columbia']
Richard R Rosenkranz,Richard R Rosenkranz,['Kansas State University']
Anetta Van Itallie,Anetta Van Itallie,[]
W Kerry Mummery,W Kerry Mummery,['University of Alberta']
Isha Singh Jassi,Isha Singh Jassi,['National Institute of Technology Karnataka']
S Ruchika,S Ruchika,['National Institute of Technology Karnataka']
Susmitha Pulakhandam,Susmitha Pulakhandam,['National Institute of Technology Karnataka']
Subhayan Mukherjee,Subhayan Mukherjee,['National Institute of Technology Karnataka']
T S Ashwin,T S Ashwin,['National Institute of Technology Karnataka']
Geereddy Ram Mohana Reddy,Geereddy Ram Mohana Reddy,['National Institute of Technology Karnataka']
Mengyao Chen,Mengyao Chen,['Tianjin University']
Cong Chen,Cong Chen,['The University of Texas at Dallas']
Shuqing Liu,Shuqing Liu,"['Tianjin University', 'Tsinghua University']"
Xiaofei Guo,Xiaofei Guo,['Tsinghua University']
Juanzi Li,Juanzi Li,['Tsinghua University']
Ruibing Yang,Ruibing Yang,['Tsinghua University']
Xiaoli Ma,Xiaoli Ma,['Tsinghua University']
Priyamvada Tiwari,Priyamvada Tiwari,['Indian Institute of Technology Guwahati']
Keyur Sorathia,Keyur Sorathia,['Indian Institute of Technology Guwahati']
Joris Suppers,Joris Suppers,['University of Waikato']
Mark D Apperley,Mark D Apperley,"['University of Waikato', 'Massey University']"
John Howse,John Howse,['University of Brighton']
Weidong Huang,Weidong Huang,"['University of Technology Sydney', 'Swinburne University of Technology', 'University of Tasmania', '+ 3']"
Jennifer Seevinck,Jennifer Seevinck,"['Queensland University of Technology', 'University of Technology Sydney', 'Old Dominion University']"
Phillip Gough,Phillip Gough,"['The University of Sydney', 'Queensland University of Technology']"
Xavier Ho,Xavier Ho,['The University of Sydney']
Kate Dunn,Kate Dunn,['The University of Sydney']
Ryuya Akase,Ryuya Akase,['Kyushu University']
Yoshihiro Okada,Yoshihiro Okada,"['Kyushu University', 'Ryukoku University']"
Ning Li,Ning Li,['Shandong University']
Zhifang Jiang,Zhifang Jiang,['Shandong University']
Zixiang Liu,Zixiang Liu,['Shandong University']
Haoxin Sun,Haoxin Sun,['Shandong University']
Sakib Jalil,Sakib Jalil,['James Cook University']
Trina S Myers,Trina S Myers,['James Cook University']
Ian M Atkinson,Ian M Atkinson,['James Cook University']
Minwook Kim,Minwook Kim,['Brigham Young University Hawaii']
Hiba Ahsan,Hiba Ahsan,['National Institute of Technology Karnataka']
Aarti Prabhu,Aarti Prabhu,['National Institute of Technology Karnataka']
S D Deeksha,S D Deeksha,['National Institute of Technology Karnataka']
Shridhar G Domanal,Shridhar G Domanal,['National Institute of Technology Karnataka']
Dylan Mathiesen,Dylan Mathiesen,['James Cook University']
Andrew Bennett,Andrew Bennett,['University of Tasmania']
Christopher Lueg,Christopher Lueg,"['Berner Fachhochschule', 'University of Tasmania', 'Charles Darwin University', 'University of Technology Sydney', '+ 1']"
Jacob L Cybulski,Jacob L Cybulski,"['Deakin University', 'University of Melbourne']"
Susan Keller,Susan Keller,['Deakin University']
Dilal Saundage,Dilal Saundage,['Deakin University']
Kiho Sakamoto,Kiho Sakamoto,['Ochanomizu University']
Lakkhana Mallikarachchi,Lakkhana Mallikarachchi,['University of Colombo']
Anuja T Dharmaratne,Anuja T Dharmaratne,"['Monash University Malaysia', 'Hiroshima University']"
Yi Li,Yi Li,['Nanjing University']
Zhenfeng Wu,Zhenfeng Wu,[]
Ting Sun,Ting Sun,[]
Callum Parker,Callum Parker,"['The University of Sydney', 'University of Tasmania']"
Martin Tomitsch,Martin Tomitsch,"['The University of Sydney', 'Vienna University of Technology']"
Alireza Rezaeian,Alireza Rezaeian,['Queensland University of Technology']
Jared Donovan,Jared Donovan,"['Queensland University of Technology', 'University of Southern Denmark, Sønderborg', '+ 1']"
P K S Udana,P K S Udana,['University of Colombo']
Fumie Banba,Fumie Banba,['Ochanomizu University']
Naruhito Toyoda,Naruhito Toyoda,['Shiseido Company Ltd.']
Hitomi Otaka,Hitomi Otaka,['Shiseido Company Ltd.']
K K Nisha,K K Nisha,['National Institute of Technology Karnataka']
H R Pruthvi,H R Pruthvi,['National Institute of Technology Karnataka']
Shwetha N Hadimani,Shwetha N Hadimani,['National Institute of Technology Karnataka']
Madhawa Gunasekara,Madhawa Gunasekara,['University of Colombo']
Damitha Sandaruwan,Damitha Sandaruwan,['University of Colombo']
Hirantha Weerarathna,Hirantha Weerarathna,['University of Colombo']
Hiroki Fujita,Hiroki Fujita,['University of Toyama']
Yoshio Nakashima,Yoshio Nakashima,['University of Toyama']
Mamoru Takamatsu,Mamoru Takamatsu,['University of Toyama']
Daniel Filonik,Daniel Filonik,"['Epicentre', 'CSIRO Data61', 'UNSW Sydney', 'Queensland University of Technology', '+ 1']"
Markus Rittenbruch,Markus Rittenbruch,"['Queensland University of Technology', 'CSIRO Data61', 'The University of Queensland', 'University of Bonn']"
Professor Marcus Foth,Professor Marcus Foth,['Queensland University of Technology']
Paolo Bottoni,Paolo Bottoni,"['Sapienza University of Rome', 'University of Milan']"
Kamen D Kanev,Kamen D Kanev,"['Shizuoka University', 'Ontario Tech University', 'The University of Aizu']"
Nikolay N Mirenkov,Nikolay N Mirenkov,"['The University of Aizu', 'Siberian Branch, Russian Academy of Sciences']"
Lei Ren,Lei Ren,"['Beihang University', 'Ministry of Education China']"
Jin Cui,Jin Cui,['Beihang University']
Yi Du,Yi Du,"['Chinese Academy of Sciences', 'University of Chinese Academy of Sciences']"
Guozhong Dai,Guozhong Dai,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences', 'Nokia Corporation']"
Haifeng Li,Haifeng Li,['Harbin Institute of Technology']
Dayi Yang,Dayi Yang,['Harbin Institute of Technology']
Yangyang Fu,Yangyang Fu,['Harbin Institute of Technology']
Hujie Huang,Hujie Huang,['Harbin Institute of Technology']
Hongyuan Fang,Hongyuan Fang,['Harbin Institute of Technology']
Mofei Song,Mofei Song,['Nanjing University']
Feiqian Zhang,Feiqian Zhang,['Nanjing University']
Zhengxing Sun,Zhengxing Sun,['Nanjing University']
Yan Zhang,Yan Zhang,"['Beijing Electronic Science and Technology Institute', 'Nanjing University']"
Quan Li,Quan Li,['Tsinghua University']
Li Chen,Li Chen,['Tsinghua University']
Robert Wang,Robert Wang,[]
Jun-Hai Yong,Jun-Hai Yong,"['Tsinghua University', '+ 3']"
Detan Si,Detan Si,[]
Abhishek P Chhetri,Abhishek P Chhetri,['The University of Texas at Dallas']
Eakta Jain,Eakta Jain,"['Texas Instruments', 'The University of Texas at Dallas']"
Chenghai Zhang,Chenghai Zhang,['East China Normal University']
Zaijia Liu,Zaijia Liu,['Tsinghua University']
Xianjunsam Zheng,Xianjunsam Zheng,"['Tsinghua University', 'Siemens USA']"
Mingyang Wu,Mingyang Wu,['Tsinghua University']
Rui Dong,Rui Dong,['Tsinghua University']
Kaiping Peng,Kaiping Peng,['Tsinghua University']
Jie Liang,Jie Liang,"['University of Technology Sydney', 'Peking University', 'Beijing University of Technology']"
Rossella Aiello,Rossella Aiello,['University of Salerno']
Giancarlo Nota,Giancarlo Nota,['University of Salerno']
Gennaro Costagliola,Gennaro Costagliola,"['University of Salerno', 'IEEE']"
Fabrizio Torre,Fabrizio Torre,['University of Salerno']
Waihou Ao,Waihou Ao,['University of Macau']
Mattia de Rosa,Mattia de Rosa,['University of Salerno']
Andrew Fish,Andrew Fish,['University of Brighton']
Vittorio Fuccella,Vittorio Fuccella,['University of Salerno']
Chenxi Li,Chenxi Li,['Nanjing University']
Yejia Zhang,Yejia Zhang,['Nanjing University']
Tianyang Liu,Tianyang Liu,['University of Tours']
Fatma Bouali,Fatma Bouali,"['University of Lille', 'University of Tours']"
Gilles Venturini,Gilles Venturini,"['University of Tours', 'Paris-Sud University']"
William Plant,William Plant,['Aston University']
Gerald Schaefer,Gerald Schaefer,"['Loughborough University', 'Aston University', 'Nottingham Trent University', 'University of East Anglia']"
Xiangxu Meng,Xiangxu Meng,"['Shandong University', 'Ministry of Education China']"
Xiaoting Bi,Xiaoting Bi,['Shandong University']
Shenghui Cheng,Shenghui Cheng,['Shandong University']
Gerry Derksen,Gerry Derksen,['Winthrop University']
Stan Ruecker,Stan Ruecker,"['University of Illinois Urbana-Champaign', 'IIT Research Institute', 'University of Alberta']"
Tim Causer,Tim Causer,['University College London']
Melissa M Terras,Melissa M Terras,"['The University of Edinburgh', 'University College London']"
Yingqing Xu,Yingqing Xu,['Tsinghua University']
Michelle Xue Zhou,Michelle Xue Zhou,"['Utah State University', 'IBM Research - Almaden', 'IBM Research', 'International Business Machines', '+ 4']"
Jing Fan,Jing Fan,"['Zhejiang University of Technology', 'College of Computer Science and Technology, Zhejiang University']"
Xiaoying Shi,Xiaoying Shi,['Zhejiang University of Technology']
Zhan Zhou,Zhan Zhou,['Zhejiang University of Technology']
Ying Tang,Ying Tang,['Zhejiang University of Technology']
Xiaoping Fan,Xiaoping Fan,"['Central South University', 'Hunan University of Finance and Economics']"
Ruobo Xin,Ruobo Xin,['Shandong University']
Dongxu Duan,Dongxu Duan,"['IBM Research - China', 'IBM China Company Limited']"
Weihong Qian,Weihong Qian,"['IBM China Company Limited', 'IBM Research - China', 'IBM Research']"
Shimei Pan,Shimei Pan,"['University of Maryland, College Park (UMD)', 'University of Maryland, Baltimore County (UMBC)', '+ 5']"
Lei Shi,Lei Shi,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']"
Chuang Lin,Chuang Lin,"['Tsinghua University', 'Tsinghua National Laboratory for Information Science and Technology']"
Jared Shenson,Jared Shenson,['Vanderbilt University']
Alark Joshi,Alark Joshi,['Boise State University']
Xiaojuan Liu,Xiaojuan Liu,['Beijing Normal University']
Xia Lin,Xia Lin,"['Drexel University', 'University of Maryland, College Park (UMD)', 'Pace University']"
Tuannhon Dang,Tuannhon Dang,['University of Illinois at Chicago']
Leland K Wilkinson,Leland K Wilkinson,"['University of Illinois at Chicago', 'Northwestern University']"
Li Yu,Li Yu,['The University of North Carolina at Charlotte']
Jiawan Zhang,Jiawan Zhang,['Tianjin University']
Peng Ye,Peng Ye,['Soochow University']
Chenming Pang,Chenming Pang,['East China Normal University']
Roy Chi Kit Chan,Roy Chi Kit Chan,['University of Macau']
Kewei Yang,Kewei Yang,['Nanjing University']
Jie Zhou,Jie Zhou,['Nanjing University']
Yi Li,Yi Li,['Nanjing University']
Xianlin Hu,Xianlin Hu,['The University of North Carolina at Charlotte']
Lane T Harrison,Lane T Harrison,"['Worcester Polytechnic Institute', 'Tufts University', 'The University of North Carolina at Charlotte', '+ 1']"
Huaguang Song,Huaguang Song,"['University of the Pacific, California']"
Jinzhu Gao,Jinzhu Gao,"['University of the Pacific, California', 'University of Minnesota System', 'Oak Ridge National Laboratory', 'IEEE', 'The Ohio State University']"
Jiang Jian,Jiang Jian,['Tsinghua University']
Guanmin Liu,Guanmin Liu,['Tsinghua University']
Chuncheng Lin,Chuncheng Lin,"['National Yang Ming Chiao Tung University', 'National Chiao Tung University Taiwan', 'University of Taipei', '+ 1']"
Xiaoyu Wang,Xiaoyu Wang,['The University of North Carolina at Charlotte']
Eric A. Bier,Eric A. Bier,"['Palo Alto Research Center Incorporated', 'University of California, Berkeley']"
Thomas James Butkiewicz,Thomas James Butkiewicz,"['University System of New Hampshire', 'University of New Hampshire Durham', 'The University of North Carolina at Charlotte']"
William Ribarsky,William Ribarsky,"['The University of North Carolina at Charlotte', 'IEEE', 'Georgia Institute of Technology', 'Georgia Tech Research Institute']"
Wenwen Dou,Wenwen Dou,['The University of North Carolina at Charlotte']
Cheongiao Pang,Cheongiao Pang,['University of Macau']
Felix Hon Hou Cheang,Felix Hon Hou Cheang,['University of Macau']
Takashi Yuki,Takashi Yuki,['University of Tsukuba']
Zhirong Zeng,Zhirong Zeng,['Chinese Academy of Sciences']
Kun Wang,Kun Wang,['Beijing Jiaotong University']
Dongxing Teng,Dongxing Teng,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']"
Yuri Saito,Yuri Saito,['Ochanomizu University']
Yasuhiko Sota,Yasuhiko Sota,['Shimane University']
Keisuke Yamamoto,Keisuke Yamamoto,['Shimane University']
Souichiro Doi,Souichiro Doi,[]
Yasuhisa Yamamoto,Yasuhisa Yamamoto,[]
Anna Wu,Anna Wu,"['Pennsylvania State University', 'Tsinghua University']"
Xin Yan,Xin Yan,['Pennsylvania State University']
Xiaolong(Luke) Zhang,Xiaolong(Luke) Zhang,"['Pennsylvania State University', 'Taiyuan University of Technology', 'Drexel University', 'The University of Arizona', '+ 1']"
Feng Tian,Feng Tian,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences', '+ 8']"
Xiang Cao,Xiang Cao,"['Lenovo Group, China', 'Microsoft Research Asia', 'Microsoft Research', 'Microsoft Research Cambridge', 'University of Delaware', '+ 2']"
Fei Lyu,Fei Lyu,"['Beijing University of Posts and Telecommunications', 'Institute of Software Chinese Academy of Sciences', '+ 1']"
Philip Trevor Cox,Philip Trevor Cox,"['Dalhousie University', 'University of Waterloo']"
Simon Gauvin,Simon Gauvin,['Dalhousie University']
Jian Shi,Jian Shi,['Chinese Academy of Sciences']
Ying Qiao,Ying Qiao,"['Institute of Software Chinese Academy of Sciences', 'Chinese Academy of Sciences']"
Yi Zhang,Yi Zhang,['Tianjin University']
Lei Fu,Lei Fu,['Tianjin University']
Qinghui Guo,Qinghui Guo,['Tianjin University']
Jie Hao,Jie Hao,['The University of Texas at Dallas']
Jiansu Pu,Jiansu Pu,['Hong Kong University of Science and Technology']
Weiwei Cui,Weiwei Cui,"['Microsoft Research Asia', 'Microsoft Research', 'Hong Kong University of Science and Technology']"
Siyuan Liu,Siyuan Liu,"['Carnegie Mellon University', 'Pennsylvania State University', 'Penn State Smeal College of Business', '+ 2']"
Lionel Ming Shuan Ni,Lionel Ming Shuan Ni,"['Hong Kong University of Science and Technology', 'University of Macau', 'Shanghai Jiao Tong University', '+ 5']"
Yu Su,Yu Su,['Southern Methodist University']
Margaret H Dunham,Margaret H Dunham,"['Southern Methodist University', 'University of Virginia']"
Liang Gou,Liang Gou,"['Bosch Research and Technology Center', 'Visa Inc.', 'IBM Research - Almaden', 'Pennsylvania State University']"
Fang You,Fang You,['Sun Yat-Sen University']
Jun Guo,Jun Guo,['Sun Yat-Sen University']
Luqi Wu,Luqi Wu,['Sun Yat-Sen University']
SuTe Lei,SuTe Lei,['The University of Texas at Dallas']
James D Hollan,James D Hollan,"['University of California, San Diego', 'University of Maryland, College Park (UMD)', '+ 4']"
Ben Bederson,Ben Bederson,"['University of Maryland, College Park (UMD)', 'RISE, Swedish Institute of Computer Science', '+ 3']"
CÉcile Laurance Paris,CÉcile Laurance Paris,"['CSIRO Data61', 'Macquarie University', 'Commonwealth Scientific and Industrial Research Organization', '+ 6']"
Shengfeng Qin,Shengfeng Qin,"['Northumbria University', 'Brunel University London']"
Shaorong Wang,Shaorong Wang,['Peking University']
Yisong Chen,Yisong Chen,['Peking University']
Guoping Wang,Guoping Wang,"['Peking University', 'Central China Normal University']"
Miaomiao Li,Miaomiao Li,['Shandong University']
Yan Huang,Yan Huang,['Shandong University']
Shenfang Li,Shenfang Li,['Shandong University']
Ye Yuan,Ye Yuan,['Beijing Normal University']
Zhongke Wu,Zhongke Wu,"['Beijing Normal University', 'Ministry of Education China', 'Nanyang Technological University']"
Jing Zhao,Jing Zhao,[]
Sheng Li,Sheng Li,['Peking University']
Lei Tang,Lei Tang,['Shandong University']
Xueqing Li,Xueqing Li,['Shandong University']
Wenjing Qi,Wenjing Qi,['Shandong University']
Anh Dang,Anh Dang,['Dalhousie University']
Jiayao Chen,Jiayao Chen,['Shandong University']
Xueqing Li,Xueqing Li,['Shandong University']
Jingzhao Yang,Jingzhao Yang,['Shandong University']
J Joshua Thomas,J Joshua Thomas,['UOW Malaysia KDU College']
Choychee Ken,Choychee Ken,['UOW Malaysia KDU College']
Xiongfei Luo,Xiongfei Luo,"['Chinese Academy of Sciences', 'Institute of Software Chinese Academy of Sciences']"
Wei Liu,Wei Liu,"['Chinese Academy of Sciences', 'Institute of Software Chinese Academy of Sciences']"
Shijian Lu,Shijian Lu,['CSIRO Ict Centre']
Shaoke Zhang,Shaoke Zhang,['Pennsylvania State University']
Jing Wang,Jing Wang,['Pennsylvania State University']
Hirofumi Miyamoto,Hirofumi Miyamoto,['Shimane University']
Tatman Cheong,Tatman Cheong,['University of Macau']
Yain Whar Si,Yain Whar Si,"['University of Macau', 'Queensland University of Technology']"
Guoray Cai,Guoray Cai,['Pennsylvania State University']
