paper,year,venue,value
10.1145/3356422.3356454,2019,CHI,1
10.1145/3356422.3356455,2019,,3
10.1145/3356422.3356456,2019,,5
10.1145/3356422.3356457,2019,,4
10.1145/3356422.3356457,2019,GI,1
10.1145/3356422.3356457,2019,ECCV,2
10.1145/3356422.3356457,2019,ICCV,1
10.1145/3356422.3356457,2019,IJCV,1
10.1145/3356422.3356457,2019,PAMI,1
10.1145/3356422.3356457,2019,CVPR,1
10.1145/3356422.3356458,2019,,7
10.1145/3356422.3356458,2019,IV,1
10.1145/3356422.3356459,2019,,9
10.1145/3356422.3356459,2019,GI,1
10.1145/3356422.3356460,2019,,8
10.1145/3356422.3356461,2019,,8
10.1145/3430036.3430041,2020,,96
10.1145/3430036.3430041,2020,TVCG,2
10.1145/3430036.3430041,2020,TOG,1
10.1145/3430036.3430041,2020,EuroVis,1
10.1145/3430036.3430041,2020,VIS,1
10.1145/3430036.3430041,2020,ASE,1
10.1145/3430036.3430041,2020,InfoVis,1
10.1145/3430036.3430041,2020,GI,1
10.1145/3430036.3430041,2020,VISIGRAPP ,1
10.1145/3430036.3430041,2020,CG&A,1
10.1145/3430036.3430041,2020,Information Visualization,1
10.1145/3430036.3430041,2020,CHI,1
10.1145/3430036.3430041,2020,Computational Physics Conference,1
10.1145/3430036.3430041,2020,VINCI,1
10.1145/3430036.3430054,2020,,58
10.1145/3430036.3430054,2020,TVCG,2
10.1145/3430036.3430054,2020,TOG,1
10.1145/3430036.3430054,2020,Information Visualization,2
10.1145/3430036.3430054,2020,VISIGRAPP ,1
10.1145/3430036.3430054,2020,VINCI,1
10.1145/3430036.3430037,2020,,28
10.1145/3430036.3430037,2020,TVCG,1
10.1145/3430036.3430037,2020,CG&A,1
10.1145/3430036.3430037,2020,TOG,1
10.1145/3430036.3430067,2020,,21
10.1145/3430036.3430060,2020,,38
10.1145/3430036.3430058,2020,,32
10.1145/3430036.3430053,2020,CGF,2
10.1145/3430036.3430053,2020,,16
10.1145/3430036.3430053,2020,Information Visualization,1
10.1145/3430036.3430053,2020,TVCG,1
10.1145/3430036.3430053,2020,GI,1
10.1145/3430036.3430053,2020,CHI,1
10.1145/3430036.3430065,2020,,16
10.1145/3430036.3430065,2020,TVCG,2
10.1145/3430036.3430065,2020,TOG,1
10.1145/3430036.3430052,2020,,19
10.1145/3430036.3430052,2020,IV,2
10.1145/3430036.3430052,2020,TVCG,3
10.1145/3430036.3430050,2020,,44
10.1145/3430036.3430050,2020,TVCG,2
10.1145/3430036.3430038,2020,,46
10.1145/3430036.3430038,2020,CGF,1
10.1145/3430036.3430059,2020,,28
10.1145/3430036.3430059,2020,JMLR,1
10.1145/3430036.3430061,2020,,23
10.1145/3430036.3430061,2020,SIGGRAPH,1
10.1145/3430036.3430061,2020,TVCG,2
10.1145/3430036.3430061,2020,CHI,1
10.1145/3430036.3430042,2020,,43
10.1145/3430036.3430066,2020,,22
10.1145/3430036.3430066,2020,TVCG,1
10.1145/3430036.3430043,2020,,30
10.1145/3430036.3430056,2020,,16
10.1145/3430036.3430056,2020,EuroVis,1
10.1145/3430036.3430049,2020,,25
10.1145/3430036.3430049,2020,CGF,1
10.1145/3430036.3430071,2020,,44
10.1145/3430036.3430071,2020,CG&A,1
10.1145/3430036.3430047,2020,,24
10.1145/3430036.3430045,2020,,27
10.1145/3430036.3430045,2020,Web3D,1
10.1145/3430036.3430045,2020,VINCI,1
10.1145/3430036.3430070,2020,,13
10.1145/3430036.3430044,2020,,24
10.1145/3430036.3430044,2020,TVCG,1
10.1145/3430036.3430044,2020,CG&A,1
10.1145/3430036.3430044,2020,TOG,1
10.1145/3430036.3430069,2020,,20
10.1145/3430036.3430069,2020,TVCG,1
10.1145/3430036.3430064,2020,,26
10.1145/3430036.3430064,2020,Information Visualization,2
10.1145/3430036.3430064,2020,TVCG,1
10.1145/3430036.3430064,2020,CHI,1
10.1145/3430036.3430068,2020,,1
10.1145/3430036.3430063,2020,,12
10.1145/3430036.3430063,2020,Information Visualization,2
10.1145/3430036.3432753,2020,,9
10.1145/3430036.3432753,2020,TVCG,1
10.1145/3430036.3430057,2020,,7
10.1145/3430036.3430057,2020,GI,1
10.1145/3430036.3430072,2020,TVCG,1
10.1145/3430036.3430072,2020,,13
10.1145/3430036.3430073,2020,,12
10.1145/3481549.3481569,2021,VIS,1
10.1145/3481549.3481569,2021,,30
10.1145/3481549.3481569,2021,KDD,1
10.1145/3481549.3481569,2021,TVCG,3
10.1145/3481549.3481569,2021,GD,3
10.1145/3481549.3481569,2021,SIBGRAPI,1
10.1145/3481549.3481569,2021,Information Visualization,2
10.1145/3481549.3481569,2021,CGF,3
10.1145/3481549.3481569,2021,InfoVis,2
10.1145/3481549.3481553,2021,PacificVis,3
10.1145/3481549.3481553,2021,TVCG,7
10.1145/3481549.3481553,2021,JVLC,1
10.1145/3481549.3481553,2021,CGF,3
10.1145/3481549.3481553,2021,IV,4
10.1145/3481549.3481553,2021,,2
10.1145/3481549.3481553,2021,InfoVis,1
10.1145/3481549.3481557,2021,,27
10.1145/3481549.3481557,2021,CGF,1
10.1145/3481549.3481557,2021,KDD,1
10.1145/3481549.3481557,2021,Information Visualization,1
10.1145/3481549.3481557,2021,TVCG,7
10.1145/3481549.3481557,2021,PacificVis,1
10.1145/3481549.3481557,2021,HICSS,1
10.1145/3481549.3481557,2021,BIGDATA,1
10.1145/3481549.3481557,2021,CHI,1
10.1145/3481549.3481557,2021,JMLR,1
10.1145/3481549.3481557,2021,SIGKDD,1
10.1145/3481549.3481563,2021,,10
10.1145/3481549.3481563,2021,UIST,2
10.1145/3481549.3481563,2021,CHI,14
10.1145/3481549.3481563,2021,VIS,1
10.1145/3481549.3481563,2021,CG&A,2
10.1145/3481549.3481563,2021,GI,2
10.1145/3481549.3481563,2021,SIGGRAPH,2
10.1145/3481549.3481563,2021,ICRA,1
10.1145/3481549.3481563,2021,SUI,1
10.1145/3481549.3481568,2021,,20
10.1145/3481549.3481568,2021,TVCG,2
10.1145/3481549.3481568,2021,CHI,1
10.1145/3481549.3481570,2021,,7
10.1145/3481549.3481570,2021,IV,1
10.1145/3481549.3481570,2021,TVCG,1
10.1145/3481549.3481570,2021,VL/HCC,1
10.1145/3481549.3481570,2021,GI,1
10.1145/3481549.3481570,2021,VINCI,1
10.1145/3481549.3481570,2021,SIGGRAPH,1
10.1145/3481549.3481570,2021,VISIGRAPP ,1
10.1145/3481549.3481570,2021,CGVC,1
10.1145/3481549.3481562,2021,,12
10.1145/3481549.3481562,2021,GI,1
10.1145/3481549.3481562,2021,PacificVis,1
10.1145/3481549.3481562,2021,NeuroImage,1
10.1145/3481549.3481562,2021,CHI,1
10.1145/3481549.3481560,2021,,22
10.1145/3481549.3481560,2021,GI,5
10.1145/3481549.3481560,2021,IJCV,1
10.1145/3481549.3481560,2021,ECCV,1
10.1145/3481549.3481560,2021,CVPR,1
10.1145/3481549.3481556,2021,,22
10.1145/3481549.3481556,2021,ITS,1
10.1145/3481549.3481556,2021,IEEE VR,1
10.1145/3481549.3481556,2021,SIGGRAPH,1
10.1145/3481549.3481556,2021,GI,3
10.1145/3481549.3481556,2021,CG&A,1
10.1145/3481549.3481556,2021,VL/HCC,1
10.1145/3481549.3481556,2021,VIS,1
10.1145/3481549.3481554,2021,,16
10.1145/3481549.3481554,2021,Journal of Visual Languages & Computing,1
10.1145/3481549.3481554,2021,GI,2
10.1145/3481549.3481558,2021,CHI,3
10.1145/3481549.3481558,2021,,30
10.1145/3481549.3481558,2021,UIST,2
10.1145/3481549.3481558,2021,TVCG,12
10.1145/3481549.3481558,2021,Information Visualization,1
10.1145/3481549.3481558,2021,LNCS,1
10.1145/3481549.3481558,2021,CGF,1
10.1145/3481549.3481564,2021,,20
10.1145/3481549.3481564,2021,ISMAR,1
10.1145/3481549.3481564,2021,CHI,2
10.1145/3481549.3481564,2021,TVCG,3
10.1145/3481549.3481564,2021,CG&A,1
10.1145/3481549.3481564,2021,GI,1
10.1145/3481549.3481555,2021,,13
10.1145/3481549.3481555,2021,TVCG,4
10.1145/3481549.3481555,2021,IEEE VR,1
10.1145/3481549.3481555,2021,UIST,1
10.1145/3481549.3481555,2021,JVLC,1
10.1145/3481549.3481555,2021,InfoVis,1
10.1145/3481549.3481555,2021,CG&A,1
10.1145/3481549.3481555,2021,PacificVis,1
10.1145/3481549.3481555,2021,CHI,1
10.1145/3481549.3481566,2021,,15
10.1145/3481549.3481566,2021,EuroSys,1
10.1145/3481549.3481566,2021,VISSOFT,3
10.1145/3481549.3481566,2021,Computational Physics Conference,1
10.1145/3481549.3481566,2021,ICSE,1
10.1145/3481549.3481566,2021,GI,2
10.1145/3481549.3481566,2021,IV,1
10.1145/3481549.3481566,2021,ASPLOS,1
10.1145/3481549.3481566,2021,VIS,1
10.1145/3481549.3481566,2021,ICML,1
10.1145/3481549.3481565,2021,,30
10.1145/3481549.3481565,2021,IUI,4
10.1145/3481549.3481565,2021,TVCG,1
10.1145/3481549.3481565,2021,VIS,5
10.1145/3481549.3481565,2021,Information Visualization,2
10.1145/3481549.3481565,2021,TOIS,2
10.1145/3481549.3481565,2021,SIGIR,1
10.1145/3481549.3481565,2021,IV,1
10.1145/3481549.3481565,2021,CHI,1
10.1145/3481549.3481550,2021,,18
10.1145/3481549.3481550,2021,CGF,2
10.1145/3481549.3481550,2021,GD,2
10.1145/3481549.3481550,2021,InfoVis,1
10.1145/3481549.3481550,2021,Information Visualization,1
10.1145/3481549.3481550,2021,JVLC,1
10.1145/3481549.3481550,2021,VL/HCC,1
10.1145/3481549.3481550,2021,TVCG,2
10.1145/3481549.3481571,2021,,5
10.1145/3481549.3481573,2021,GI,2
10.1145/3481549.3481573,2021,JMLR,1
10.1145/3481549.3481573,2021,,5
10.1145/3481549.3481573,2021,WCRE,1
10.1145/3481549.3481573,2021,Information Visualization,1
10.1145/3481549.3481573,2021,CGF,1
10.1145/3481549.3481573,2021,Web3D,1
10.1145/3481549.3481572,2021,,2
10.1145/3481549.3481559,2021,,6
10.1145/3481549.3481559,2021,CG&A,2
10.1145/3481549.3481559,2021,IV,2
10.1145/3481549.3481559,2021,JOV,1
10.1145/3481549.3481559,2021,TVCG,4
10.1145/3481549.3481559,2021,GI,1
10.1145/3481549.3481559,2021,CGF,1
10.1145/3481549.3481559,2021,InfoVis,1
10.1145/3481549.3481567,2021,,20
10.1145/3481549.3481567,2021,CHI,5
10.1145/3481549.3481567,2021,GI,1
10.1145/3481549.3481567,2021,WSCG,1
10.1145/3481549.3481567,2021,InfoVis,2
10.1145/3481549.3481551,2021,,9
10.1145/3481549.3481551,2021,JMLR,1
10.1145/3481549.3481551,2021,TVCG,2
10.1145/3481549.3481551,2021,NIPS,1
10.1145/3481549.3481551,2021,WSDM,1
10.1145/3481549.3481551,2021,GI,3
10.1145/3481549.3481551,2021,ACL,1
10.1145/3481549.3481551,2021,ICML,1
10.1145/3481549.3481552,2021,TOG,4
10.1145/3481549.3481552,2021,TVCG,1
10.1145/3481549.3481552,2021,,11
10.1145/3481549.3481552,2021,VIS,1
10.1145/3481549.3481552,2021,SIGGRAPH,1
10.1145/3481549.3481552,2021,JOV,1
10.1145/3481549.3481561,2021,,8
10.1145/3481549.3481561,2021,ICML,1
10.1145/3481549.3481561,2021,TVCG,3
10.1145/3481549.3481561,2021,CHI,1
10.1145/3481549.3481561,2021,JMLR,1
10.1145/3554944.3554950,2022,SMC,1
10.1145/3554944.3554950,2022,SG,2
10.1145/3554944.3554950,2022,EuroVis,1
10.1145/3554944.3554950,2022,CVGIP,1
10.1145/3554944.3554950,2022,TVCG,4
10.1145/3554944.3554950,2022,IEEE Automation Science and Engineering,1
10.1145/3554944.3554950,2022,ICPP,1
10.1145/3554944.3554950,2022,,7
10.1145/3554944.3554950,2022,GD,2
10.1145/3554944.3554950,2022,IUI,3
10.1145/3554944.3554950,2022,VL/HCC,1
10.1145/3554944.3554950,2022,Proceedings of Graphics Interface,1
10.1145/3554944.3554950,2022,CHI,3
10.1145/3554944.3554950,2022,TOG,2
10.1145/3554944.3554950,2022,PLOS ONE,1
10.1145/3554944.3554950,2022,GI,1
10.1145/3554944.3554950,2022,PacificVis,1
10.1145/3554944.3554950,2022,CGF,1
10.1145/3554944.3554950,2022,ITS,1
10.1145/3554944.3554950,2022,Journal of Visual Languages & Computing,1
10.1145/3554944.3554950,2022,IEEE TVCG2,1
10.1145/3554944.3554950,2022,DIS,1
10.1145/3554944.3554950,2022,UIST,1
10.1145/3554944.3554950,2022,TOMCCAP,1
10.1145/3554944.3554951,2022,,36
10.1145/3554944.3554951,2022,ACM Multimedia,1
10.1145/3554944.3554951,2022,CADCG,1
10.1145/3554944.3554951,2022,CVPR,1
10.1145/3554944.3554951,2022,GI,1
10.1145/3554944.3554951,2022,SIGGRAPH,2
10.1145/3554944.3554952,2022,ECCV,2
10.1145/3554944.3554952,2022,,31
10.1145/3554944.3554952,2022,GI,7
10.1145/3554944.3554952,2022,CVPR,9
10.1145/3554944.3554952,2022,AAAI,2
10.1145/3554944.3554952,2022,ICCV,1
10.1145/3554944.3554952,2022,ICML,1
10.1145/3554944.3554952,2022,NIPS,1
10.1145/3554944.3554952,2022,IJCAI,1
10.1145/3554944.3554953,2022,,4
10.1145/3554944.3554953,2022,PacificVis,1
10.1145/3554944.3554953,2022,TVCG,1
10.1145/3554944.3554971,2022,,18
10.1145/3554944.3554971,2022,TVCG,1
10.1145/3554944.3554947,2022,CG&A,1
10.1145/3554944.3554947,2022,,14
10.1145/3554944.3554947,2022,TVCG,2
10.1145/3554944.3554947,2022,JOV,1
10.1145/3554944.3554947,2022,CGF,2
10.1145/3554944.3554947,2022,SIGGRAPH,1
10.1145/3554944.3554947,2022,TOG,2
10.1145/3554944.3554945,2022,TVCG,12
10.1145/3554944.3554945,2022,,8
10.1145/3554944.3554945,2022,CHI,7
10.1145/3554944.3554945,2022,ICCV,2
10.1145/3554944.3554945,2022,CGF,3
10.1145/3554944.3554945,2022,VIS,2
10.1145/3554944.3554945,2022,GI,1
10.1145/3554944.3554945,2022,Information Visualization,1
10.1145/3554944.3554945,2022,Journal of Visual Languages & Computing,1
10.1145/3554944.3554957,2022,,18
10.1145/3554944.3554957,2022,VIS,2
10.1145/3554944.3554957,2022,CHI,6
10.1145/3554944.3554957,2022,GI,3
10.1145/3554944.3554957,2022,InfoVis,1
10.1145/3554944.3554957,2022,SIBGRAPI,1
10.1145/3554944.3554957,2022,VINCI,2
10.1145/3554944.3554957,2022,PacificVis,1
10.1145/3554944.3554958,2022,,23
10.1145/3554944.3554958,2022,GI,5
10.1145/3554944.3554958,2022,TOG,1
10.1145/3554944.3554958,2022,CGF,3
10.1145/3554944.3554958,2022,TVCG,2
10.1145/3554944.3554958,2022,BIGDATA,1
10.1145/3554944.3554959,2022,VAST,1
10.1145/3554944.3554959,2022,JVLC,2
10.1145/3554944.3554959,2022,,16
10.1145/3554944.3554959,2022,GI,1
10.1145/3554944.3554959,2022,VINCI,1
10.1145/3554944.3554959,2022,IV,1
10.1145/3554944.3554959,2022,ACM Multimedia,1
10.1145/3554944.3554954,2022,,22
10.1145/3554944.3554954,2022,TVCG,2
10.1145/3554944.3554954,2022,VIS,1
10.1145/3554944.3554970,2022,CHI,7
10.1145/3554944.3554970,2022,,16
10.1145/3554944.3554970,2022,UIST,2
10.1145/3554944.3554970,2022,BIGDATA,1
10.1145/3554944.3554970,2022,SMC,1
10.1145/3554944.3554970,2022,GI,1
10.1145/3554944.3554970,2022,TVCG,2
10.1145/3554944.3554956,2022,,20
10.1145/3554944.3554956,2022,IROS,1
10.1145/3554944.3554956,2022,GI,1
10.1145/3554944.3554956,2022,CHI,2
10.1145/3554944.3554960,2022,,5
10.1145/3554944.3554960,2022,TVCG,1
10.1145/3554944.3554960,2022,GI,3
10.1145/3554944.3554961,2022,GI,1
10.1145/3554944.3554961,2022,InfoVis,1
10.1145/3554944.3554961,2022,JMLR,2
10.1145/3554944.3554961,2022,CG&A,1
10.1145/3554944.3554961,2022,,9
10.1145/3554944.3554961,2022,TVCG,1
10.1145/3554944.3554961,2022,VINCI,1
10.1145/3554944.3554961,2022,KDD,1
10.1145/3554944.3554961,2022,IV,1
10.1145/3554944.3554961,2022,ACL,1
10.1145/3554944.3554961,2022,NIPS,1
10.1145/3554944.3554962,2022,,15
10.1145/3554944.3554963,2022,CHI,2
10.1145/3554944.3554963,2022,,6
10.1145/3554944.3554963,2022,Information Visualization,1
10.1145/3554944.3554963,2022,GI,1
10.1145/3554944.3554964,2022,,3
10.1145/3554944.3554965,2022,,4
10.1145/3554944.3554966,2022,,2
