author_id,author_name,institute_id,institute_name
84460003257,Gonzalo Gabriel Méndez,60022132,University of St Andrews
99659915372,Oscar  Moreno,60072061,Litoral Polytechnic School
99659915322,Daniel  Atzberger,60021763,University of Potsdam
99659915322,Daniel  Atzberger,60106550,Hasso Plattner Institute for Digital Engineering gGmbH
81492646025,Patricio  Mendoza,60072061,Litoral Polytechnic School
99659914952,Sebastian  Eckl,60025746,Reutlingen University
99659915658,Nick  Kerschagel,60025746,Reutlingen University
81466647554,Uwe  Kloos,60025746,Reutlingen University
81466647554,Uwe  Kloos,60272259,University of Applied Sciences of the Grisons
81466647554,Uwe  Kloos,60015815,University of Stuttgart
99659915851,Maitreya  Save,60004923,NC State University
81100375996,Benjamin Allen Watson,60004923,NC State University
81100375996,Benjamin Allen Watson,60000251,IEEE
81100375996,Benjamin Allen Watson,60007363,Northwestern University
81100375996,Benjamin Allen Watson,60030835,University of Alberta
81100375996,Benjamin Allen Watson,60019647,Georgia Institute of Technology
99659915798,Dong  Li,60021200,East China Normal University
99659290545,Hong  Yin,60021200,East China Normal University
81100220966,Changbo  Wang,60021200,East China Normal University
81100220966,Changbo  Wang,60023813,Shanghai University
81100220966,Changbo  Wang,60117933,"State Key Lab of CAD&CG, Zhejiang University"
99659915122,Sicheng  Song,60021200,East China Normal University
99659482820,Kirlin  Li,60021200,East China Normal University
99658761360,Chenhui  Li,60021200,East China Normal University
99658761360,Chenhui  Li,60008928,Hong Kong Polytechnic University
99659915850,Qiaorui  Chen,60117832,"School of Aeronautics and Astronautics, Zhejiang University"
99659915850,Qiaorui  Chen,60003970,Zhejiang University
99659915914,Shuai  Zhang,60117832,"School of Aeronautics and Astronautics, Zhejiang University"
99659915914,Shuai  Zhang,60003970,Zhejiang University
81452604154,Yao  Zheng,60003970,Zhejiang University
81452604154,Yao  Zheng,60117832,"School of Aeronautics and Astronautics, Zhejiang University"
81452604154,Yao  Zheng,60118080,School of Computer and Computing Science
99659915055,Rahel  Haymoz,60101868,University of Applied Sciences Western Switzerland
99659638986,Carolin  Fiedler,60021763,University of Potsdam
81375606710,Matthias  Trapp,60106550,Hasso Plattner Institute for Digital Engineering gGmbH
81375606710,Matthias  Trapp,60021763,University of Potsdam
99659653162,Nico  Klaassen,60032882,Eindhoven University of Technology
99659483556,Haoran  Dai,60117933,"State Key Lab of CAD&CG, Zhejiang University"
81421599679,Yubo  Tao,60117933,"State Key Lab of CAD&CG, Zhejiang University"
81421599679,Yubo  Tao,60003970,Zhejiang University
81408600175,Hai  Lin,60117933,"State Key Lab of CAD&CG, Zhejiang University"
81408600175,Hai  Lin,60003970,Zhejiang University
81408600175,Hai  Lin,60009860,Fudan University
99659483577,Hao  Tang,60013614,Hangzhou Dianzi University
99659482760,Sixiang  Fei,60013614,Hangzhou Dianzi University
99659482636,Xiaoying  Shi,60013614,Hangzhou Dianzi University
99658765084,Hanbyul  Yeon,60027884,Sejong University
99659482864,Mingyu  Pi,60027884,Sejong University
99659483077,Hyesook  Son,60027884,Sejong University
81372592812,Yun  Jang,60027884,Sejong University
81372592812,Yun  Jang,60025858,"Swiss Federal Institute of Technology, Zurich"
81372592812,Yun  Jang,60009254,Purdue University
99659291193,Rohan  Goel,60000414,"Birla Institute of Technology and Science, Pilani"
99659290090,Samiha  Fadloun,60108488,University of Montpellier
99659290844,Sarah  Valentin,60108488,University of Montpellier
81375620314,Arnaud  Sallaberry,60108488,University of Montpellier
81375620314,Arnaud  Sallaberry,60009278,Universite Paul-Valery Montpellier III
81375620314,Arnaud  Sallaberry,60014439,"University of California, Davis"
81384592979,Mathieu Roche,60103240,"Territoires, Environnement, Télédétection et Information Spatiale"
81384592979,Mathieu Roche,60108488,University of Montpellier
